x,y,z
0.549597,-0.287192,0.046692
-0.238116,0.787942,0.219548
0.0925918,0.0711736,-0.270892
0.306289,-0.799198,0.0743948
0.330554,0.0302244,-0.152631
-0.456074,0.142353,0.491973
0.00282394,-0.654701,0.336612
-0.127811,0.368904,0.942545
-0.454053,0.552173,0.469398
-0.6003,0.0235374,-0.270148
-0.0266621,0.0986705,0.129063
-0.128918,-0.192372,0.106273
-0.0372214,-0.891213,0.0676287
0.33383,0.590586,-0.0493707
-0.419536,-0.391944,0.622372
-0.346612,-0.575261,0.285491
-0.055957,-0.440658,-0.272805
0.237241,-0.0220527,-0.722772
-0.112871,-0.653826,-0.019795
-0.104595,0.0906541,-0.0700755
-0.129358,-0.0104951,0.979072
0.0897733,-0.296085,0.318359
0.22524,-0.00938332,0.219534
-0.0954453,-0.189426,0.152107
0.491801,-0.474871,0.232499
0.0146954,0.196446,0.777866
-0.486539,-0.3131,0.626933
-0.157359,-0.0505973,1.0242
0.412594,0.565128,0.650428
0.578215,-0.42484,-0.18935
0.159133,-0.128802,0.411739
0.668021,0.0693821,0.639788
-0.232138,0.260407,0.556393
0.0775898,0.0543144,0.397261
0.139652,0.0550208,0.179625
0.446348,0.718691,0.0422638
0.0676435,-0.295398,0.670053
0.16079,0.192982,0.276968
0.0798698,-0.311498,-0.228155
0.14591,-0.135482,0.0579245
-0.461557,0.585857,0.494377
-0.0256471,0.495469,0.462302
-0.401581,0.0194615,-0.344991
0.200133,-0.700102,0.387432
-0.0035095,-0.186045,-0.00565583
-0.204541,0.0712373,-0.0336762
0.253212,-0.51389,-0.222586
-0.549856,-0.0644958,-0.0222705
0.267042,0.00097143,-0.536063
0.0588587,0.263517,1.05208
-0.211795,0.246802,0.213385
0.239598,-0.332802,0.295675
-0.471374,0.380084,-0.176411
0.00183311,0.0464395,-0.353769
-0.172773,-0.0748033,0.181103
0.0686364,-0.437551,-0.159282
-0.0121179,0.287176,0.00258511
-0.359266,0.00679745,0.464325
-0.0434788,-0.0476604,0.190782
-0.118213,-0.181755,0.167441
-0.143629,0.301029,0.860447
0.0259195,0.0813405,-0.525628
-0.0201861,0.0520394,-0.0627126
0.116551,0.203612,0.305852
-0.0107167,0.0814848,0.0759937
-0.0469823,0.200105,0.360406
-0.548772,0.448376,-0.42683
0.182352,0.136488,0.28817
0.551719,-0.0979222,0.0427964
0.0520444,0.0168673,0.0318474
-0.24577,0.00295524,-0.0274965
0.319513,-0.124047,0.109704
0.0511949,0.813647,-0.211949
0.180081,0.178172,-0.47916
-0.440789,0.0227618,-0.456225
-0.0343477,-0.280014,0.502744
-0.491782,-0.239126,-0.367091
-0.24928,-0.00874987,0.605833
-0.0800229,-0.2711,-0.478999
0.158901,0.252296,-0.52205
0.0143418,-0.0312773,0.0459797
-0.0947051,-0.0364033,0.159134
0.908827,0.194392,0.181791
0.51939,0.00747322,0.018977
-0.350173,0.117192,0.41814
0.0611201,0.0769081,-0.0971532
-0.472083,0.434987,-0.244758
0.00548588,-0.0656103,0.000575629
0.336239,-0.280887,0.356733
-0.548366,-0.679271,0.46051
0.429096,0.559973,0.361605
-0.0175526,-0.340899,0.520577
0.0917835,0.0198933,-0.272576
0.250639,-0.132621,0.230746
-0.524379,-0.265218,0.600659
0.0211317,-0.16479,0.977244
0.206219,-0.0592452,0.110268
-0.283459,-0.236431,0.54304
-0.110204,-0.0385985,0.127709
0.0211877,-0.26658,0.928693
0.0645671,0.176599,0.710193
0.403861,-0.0775601,-0.173045
-0.166241,-0.213066,0.00599492
-0.0262497,-0.0593456,0.156489
0.301008,0.119283,0.326456
0.853965,-0.339217,0.12386
-0.158806,-0.671091,0.274667
0.139685,-0.0269766,0.516979
-0.0513098,0.229663,0.827657
-0.0582858,-0.0192527,-0.697558
0.149837,0.63189,-0.473634
0.272015,-0.223716,-0.461175
0.271243,-0.410078,0.200138
-0.0367888,-0.165053,0.832033
-0.343943,-0.381807,-0.286632
-0.301842,-0.0526698,-0.0147571
-0.523895,-0.139079,0.781391
0.0543367,-0.225516,-0.145724
-0.00875166,0.298944,0.967856
-0.239076,0.498211,0.131876
-0.0961959,0.2218,-0.567675
0.208958,0.0574949,0.231883
-0.36987,0.788598,-0.0302094
-0.128566,-0.719576,-0.355006
0.132011,0.00292858,0.226935
-0.472479,0.147846,0.446427
-0.153619,0.513851,-0.402028
0.148527,-0.170136,0.209267
-0.198553,-0.132558,0.177723
-0.0935759,0.686125,-0.307301
0.68581,-0.305892,0.202266
0.0420451,-0.033637,0.0880614
0.155849,-0.327709,0.0710128
0.163229,0.760866,-0.403309
0.12485,-0.0305946,-0.475339
0.859196,-0.0477063,0.511163
-0.276977,-0.158766,-0.521006
0.590114,-0.101171,0.276227
0.0326757,-0.227641,0.242414
-0.314612,-0.663462,0.0873207
0.0336727,0.259678,-0.322141
-0.463394,-0.0189959,0.0155219
0.0668264,0.0379804,0.138605
-0.414053,0.16217,-0.62618
0.406911,0.448309,0.297849
0.653683,-0.449293,0.54147
-0.670674,-0.198604,-0.0860401
-0.143136,-0.2249,-0.654111
-0.181624,0.25522,0.016005
-0.314198,0.304561,-0.281386
-0.265247,0.507968,0.461449
